id,date,rank,title,artist,classification,subjectivity,polarity,neg,pos
0,1959-01-03,1,The Chipmunk Song,The Chipmunks With David Seville,neg,0.5441338259441706,0.19364532019704433,0.9973254613348621,0.00267453866513426
1,1959-01-03,2,Smoke Gets In Your Eyes,The Platters,pos,0.5469696969696969,0.3818181818181818,0.0011752335613523025,0.9988247664386539
2,1959-01-03,3,"To Know Him, Is To Love Him",The Teddy Bears,neg,0.5757575757575761,0.3727272727272728,0.5154482157219498,0.4845517842780456
3,1959-01-03,4,One Night,Elvis Presley,pos,0.6223809523809526,0.18793650793650798,0.03155003871858988,0.9684499612814131
4,1959-01-03,5,Problems,The Everly Brothers,neg,0.5874669312169313,0.23214285714285718,0.865242342019726,0.1347576579802744
5,1959-01-03,6,Tom Dooley,The Kingston Trio,pos,0.38715277777777773,-0.16267361111111114,0.0008716991621095328,0.9991283008378847
6,1959-01-03,7,Lonesome Town,Ricky Nelson,pos,0.4429292929292929,-0.09747474747474749,0.0009336076253816469,0.9990663923746138
7,1959-01-03,8,Beep Beep,The Playmates,neg,0.386031746031746,0.015605158730158724,0.9853949088612655,0.01460509113874044
8,1959-01-03,9,A Lover's Question,Clyde McPhatter,pos,0.4714285714285714,0.2857142857142857,0.259066989918891,0.7409330100811116
9,1959-01-03,10,Whole Lotta Loving,Fats Domino,pos,0.5907407407407407,0.3880787037037037,0.12101087464993658,0.8789891253500657
10,1959-01-03,11,Gotta Travel On,Billy Grammer,neg,0.3938666666666667,-0.06119999999999998,0.5539901771329531,0.44600982286705376
11,1959-01-03,12,It's Only Make Believe,Conway Twitty,pos,0.8029411764705883,0.14411764705882352,0.008862543186420428,0.9911374568135773
12,1959-01-03,13,My Happiness,Connie Francis,pos,0.21818181818181823,0.24090909090909085,0.004540297690930163,0.9954597023090761
13,1959-01-03,14,I Got Stung,Elvis Presley,pos,0.5772727272727273,-0.020131714876033047,0.008627039128320826,0.9913729608716929
14,1959-01-03,15,Bimbombey,Jimmie Rodgers,pos,0.6002525252525251,-0.22714646464646468,0.13939417201954912,0.8606058279804482
15,1959-01-03,16,Lonely Teardrops,Jackie Wilson,pos,0.6334821428571428,-0.08839285714285716,0.07585117807569486,0.9241488219243018
16,1959-01-03,17,Queen Of The Hop,Bobby Darin,pos,0.548125,-0.0125,0.06305219561220933,0.9369478043877711
17,1959-01-03,18,Donna,Ritchie Valens,pos,0.29444444444444445,0.2222222222222222,0.33996464379330743,0.6600353562066923
18,1959-01-03,19,Love Is All We Need,Tommy Edwards,pos,0.6015151515151517,0.45606060606060606,0.004976284819685772,0.9950237151803125
19,1959-01-03,20,I Got A Feeling,Ricky Nelson,pos,0.5115384615384615,0.2403846153846154,0.2860213600420669,0.7139786399579304
20,1959-01-03,21,Poor Boy,The Royaltones,neg,0.0,0.0,0.6874999999999996,0.3124999999999999
21,1959-01-03,22,Manhattan Spiritual,Reg Owen & His Orchestra,neg,0.0,0.0,0.6874999999999996,0.3124999999999999
22,1959-01-03,23,I'll Wait For You,Frankie Avalon,pos,0.625,0.325,0.06984651301175263,0.9301534869882434
23,1959-01-03,24,That Old Black Magic,Louis Prima And Keely Smith,pos,0.5312037037037036,0.15018518518518514,0.026385449976918173,0.9736145500230811
24,1959-01-03,25,16 Candles,The Crests,pos,0.6599999999999999,0.4351041666666667,0.03605778683087091,0.9639422131691286
25,1959-01-03,26,Love You Most Of All,Sam Cooke,neg,0.5811447811447811,0.43097643097643096,0.7803349406052685,0.2196650593947334
26,1959-01-03,27,Philadelphia U.S.A.,The Nu Tornados,pos,0.5708994708994708,0.2857142857142857,0.04257311467923679,0.9574268853207631
27,1959-01-03,28,Topsy II,Cozy Cole,pos,0.405952380952381,0.047619047619047616,0.003653625072414799,0.9963463749275844
28,1959-01-03,29,The Little Drummer Boy,The Harry Simeone Chorale,pos,0.375,0.4,0.14719661059167907,0.8528033894083122
29,1959-01-03,30,Goodbye Baby,Jack Scott,neg,0.9199999999999999,0.05,0.7372057733883396,0.26279422661166496
30,1959-01-03,31,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,neg,0.0,0.0,0.6874999999999996,0.3124999999999999
31,1959-01-03,32,The Diary,Neil Sedaka,neg,0.5375000000000001,0.006944444444444438,0.8409183465339385,0.15908165346605488
32,1959-01-03,33,The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,pos,0.34325396825396826,0.11567460317460318,0.0005564387073410255,0.9994435612926648
33,1959-01-03,34,I Cried A Tear,LaVern Baker,pos,0.4694805194805195,0.24012987012987014,0.35655255632721233,0.6434474436727904
34,1959-01-03,35,Jingle Bell Rock,Bobby Helms,neg,0.5742857142857142,0.4542857142857143,0.8032725329764033,0.19672746702360278
35,1959-01-03,36,Turvy II,Cozy Cole,pos,0.405952380952381,0.047619047619047616,0.003653625072414799,0.9963463749275844
36,1959-01-03,37,Chantilly Lace,Big Bopper,neg,0.5053418803418804,-0.0005341880341880375,0.9179811246053831,0.0820188753946132
37,1959-01-03,38,It's All In The Game,Tommy Edwards,pos,0.5480769230769232,0.24615384615384617,0.00602010650542151,0.9939798934945755
38,1959-01-03,39,The All American Boy,Bill Parsons,pos,0.4625,0.018750000000000003,0.002026751107791595,0.9979732488921992
39,1959-01-03,40,The World Outside,The Four Coins,pos,0.3975,0.0975,0.08216227458101244,0.9178377254189904
40,1959-01-03,41,The End,Earl Grant,pos,0.7142857142857143,0.35714285714285715,0.017569452542197512,0.9824305474578047
